CJ_HeightDiff,CJ_Gracew,CJ_Fw,CJ_Sw,CJ_Dw,CJ_Frame,CJ_PosZ,CJ_PosX,,SJ_HeightDiff,SJ_Gracew,SJ_Fw,SJ_Frame,SJ_PosZ,SJ_PosX,,
300,0,0,0,0,0,0,0,,300,0,0,0,0,0,,
290,3,29,28,20,93,224.1699174,778.981,,290,0,0,0,0,0,,
280,3,30,30,21,98,214.2373953,817.6686667,,280,0,0,0,0,0,,Diff
270,5,31,31,21,103,204.3339749,852.0766667,,270,2,29,58,204.4998226,758.2195,,-93.85716667
260,5,31,31,23,106,194.3756416,881.7106667,,260,4,32,65,194.4169921,845.4693333,,-36.24133333
250,6,33,32,23,110,184.2113967,908.3773333,,250,6,33,70,184.0399316,906.0525,,-2.324833333
240,7,33,32,24,113,174.2218134,933.7316667,,240,7,35,73,174.5578971,946.0525,,12.32083333
230,6,33,32,26,115,164.0134801,956.699,,230,8,36,76,165.0747361,983.01075,,26.31175
220,7,33,33,26,118,154.1680308,977.7736667,,220,9,37,79,154.3427655,1019.969,,42.19533333
210,7,34,33,28,120,144.1559149,998.5916667,,210,10,36,82,144.0270721,1050.84375,,52.25208333
200,7,34,33,29,122,134.2704983,1017.279333,,200,11,38,84,134.3918088,1080.552167,,63.27283333
190,9,34,34,29,125,124.008913,1037.279333,,190,11,39,86,125.1202503,1104.177083,,66.89775
180,9,35,34,30,127,114.1327445,1054.892333,,180,11,40,88,115.0158405,1127.802,,72.90966667
170,10,36,35,29,130,104.0583221,1071.687333,,170,11,41,90,104.078475,1151.426917,,79.73958333
160,9,35,35,31,131,94.31949161,1087.988,,160,11,43,91,95.48577802,1167.802,,79.814
150,10,36,35,32,133,84.15207207,1104.526333,,150,11,43,93,85.3814668,1188.385167,,83.85883333
140,10,36,35,32,135,74.15207207,1120.009,,140,11,42,95,74.02771578,1205.926583,,85.91758333
130,10,36,36,32,137,64.09956148,1134.417,,130,11,45,96,64.60152099,1225.343417,,90.92641667
120,9,37,36,34,138,54.21371756,1148.568333,,120,11,46,97,56.42505692,1238.67675,,90.10841667
110,10,36,37,34,140,44.21397263,1162.976333,,110,11,45,99,45.07145852,1256.218167,,93.24183333
100,11,37,36,34,142,34.21371756,1177.384333,,100,11,47,100,35.22849737,1272.59325,,95.20891667
90,11,37,38,34,144,24.10940634,1190.717667,,90,11,48,101,26.21875048,1285.926583,,95.20891667
80,11,38,37,36,145,14.10920654,1204.869,,80,11,49,102,16.79235431,1299.259917,,94.39091667
70,11,37,37,37,146,4.151045383,1216.89,,70,11,48,104,4.189098542,1316.801333,,99.91133333
60,11,38,38,37,148,-5.953265839,1230.223333,,60,11,49,105,-5.23729763,1330.134667,,99.91133333
50,11,39,38,36,150,-15.78657155,1241.426333,,50,11,50,106,-15.08034685,1343.468,,102.0416667
40,11,40,39,38,151,-25.64036993,1253.428333,,40,11,51,107,-25.34005208,1356.801333,,103.373
30,11,40,39,37,153,-35.9007866,1265.706,,30,11,51,108,-33.51651615,1367.092917,,101.3869167
20,11,39,40,38,154,-45.431914,1276.652333,,20,11,52,109,-44.19287968,1380.42625,,103.7739167
10,11,39,40,39,155,-54.900664,1287.598667,,10,11,53,110,-55.28590334,1393.759583,,106.1609167
0,11,39,39,40,156,-65.92180407,1299.619667,,0,11,53,111,-63.87900575,1404.051167,,104.4315
-10,11,40,40,39,158,-75.57756319,1309.748,,-10,11,54,112,-75.38869095,1417.3845,,107.6365
-20,11,40,40,40,159,-85.40047986,1320.694333,,-20,11,54,113,-84.39843784,1427.676083,,106.98175
-30,11,40,40,41,160,-95.57756319,1331.640667,,-30,11,54,114,-93.82483401,1437.967667,,106.327
-40,11,40,41,42,161,-104.9104937,1341.512333,,-40,11,55,115,-105.7511819,1451.301,,109.7886667
-50,11,40,41,43,162,-115.7959104,1352.458667,,-50,11,55,116,-115.5942311,1461.592583,,109.1339167
-60,11,41,42,42,164,-125.6388757,1362.587,,-60,11,55,117,-125.8539363,1471.884167,,109.2971667
-70,11,42,42,43,165,-135.3259729,1372.458667,,-70,11,58,117,-134.603813,1481.009417,,108.55075
-80,11,41,40,45,165,-145.9210064,1382.092667,,-80,11,58,118,-144.0302091,1491.301,,109.2083333
-90,11,41,42,44,167,-155.8888757,1392.221,,-90,11,58,119,-153.8732583,1501.592583,,109.3715833
-100,11,42,42,45,168,-165.8676395,1402.092667,,-100,11,58,120,-164.1329636,1511.884167,,109.7915
-110,11,44,43,44,170,-175.886921,1411.146333,,-110,11,58,121,-174.8093271,1522.17575,,111.0294167
-120,11,42,42,46,170,-185.9405562,1420.780333,,-120,11,58,122,-185.9023508,1532.467333,,111.687
-130,11,44,43,45,172,-195.605671,1429.834,,-130,11,61,122,-195.9022714,1541.592583,,111.7585833
-140,11,43,43,45,173,-205.7624579,1438.65,,-140,11,60,123,-202.4120035,1548.842417,,110.1924167
-150,11,44,44,46,174,-215.3134212,1447.447,,-150,11,60,124,-213.5050272,1559.134,,111.687
-160,11,43,44,46,175,-225.4702081,1456.263,,-160,11,60,125,-225.0147124,1569.425583,,113.1625833
-170,11,44,45,47,176,-235.7919686,1465.06,,-170,11,59,126,-235.2744007,1576.675417,,111.6154167
-180,11,43,45,47,177,-245.9487555,1473.876,,-180,11,62,126,-242.7743665,1585.800667,,111.9246667
-190,11,43,43,49,177,-255.6791246,1482.435333,,-190,11,62,127,-254.2840517,1596.09225,,113.6569167
-200,11,44,45,48,179,-265.9482186,1491.489,,-200,11,61,128,-263.7104083,1603.342083,,111.8530833
-210,11,44,45,48,180,-275.3232186,1499.230333,,-210,11,64,128,-273.7103702,1612.467333,,113.237
-220,11,46,45,49,181,-285.9365996,1508.027333,,-220,11,64,129,-285.2200554,1622.758917,,114.7315833
-230,11,45,46,49,182,-295.3115712,1515.768667,,-230,11,63,130,-293.8130796,1630.00875,,114.2400833
-240,11,45,45,49,183,-305.8851355,1524.584667,,-240,11,62,131,-304.4894268,1637.258583,,112.6739167
-250,11,44,45,51,183,-315.4169686,1532.069333,,-250,11,65,131,-313.2394045,1646.383833,,114.3145
-260,11,46,47,50,185,-325.8623655,1540.048333,,-260,11,65,132,-325.5824159,1656.675417,,116.6270833
-270,11,46,47,50,186,-335.2373655,1547.789667,,-270,11,64,133,-335.4254305,1663.92525,,116.1355833
-280,11,45,46,52,186,-345.8428212,1556.349,,-280,11,66,133,-342.0920835,1670.00875,,113.65975
-290,11,45,46,52,187,-355.6344879,1564.090333,,-290,11,66,134,-354.8517591,1680.300333,,116.21
-300,11,45,46,52,188,-365.8428212,1571.831667,,-300,11,65,135,-365.1114372,1687.550167,,115.7185
-310,11,48,48,51,190,-375.985361,1578.736,,-310,11,67,135,-371.7780932,1693.633667,,114.8976667
-320,11,48,48,51,191,-385.7770277,1586.477333,,-320,11,67,136,-384.9544335,1703.92525,,117.4479167
-330,11,47,47,53,191,-395.8408846,1595.036667,,-330,11,66,137,-395.6307758,1711.175083,,116.1384167
-340,11,47,48,53,192,-405.2672808,1601.703333,,-340,11,68,137,-402.2974341,1717.258583,,115.55525
-350,11,47,48,53,193,-415.4756141,1609.444667,,-350,11,68,138,-415.8904396,1727.550167,,118.1055
-360,11,48,47,53,194,-425.6839648,1617.186,,-360,11,70,138,-425.0570947,1733.633667,,116.4476667
-370,11,47,47,55,194,-435.9658846,1624.670667,,-370,11,69,139,-433.6501067,1740.8835,,116.2128333
-380,11,47,48,55,195,-445.3922808,1631.337333,,-380,11,68,140,-444.3264472,1748.133333,,116.796
-390,11,48,47,55,196,-455.6006315,1639.078667,,-390,11,70,140,-451.8264404,1754.216833,,115.1381667
-400,11,47,49,55,197,-465.86033,1645.745333,,-400,11,70,141,-465.8361114,1764.508417,,118.7630833
-410,11,48,49,55,198,-474.8700769,1652.412,,-410,11,72,141,-475.8361021,1770.591917,,118.1799167
-420,11,48,49,55,199,-485.9117435,1660.153333,,-420,11,71,142,-484.4291117,1777.84175,,117.6884167
-430,11,49,49,55,200,-495.3381397,1666.82,,-430,11,70,143,-495.1054507,1785.091583,,118.2715833
-440,11,49,48,57,200,-505.7867572,1674.304667,,-440,11,72,143,-503.4387786,1791.175083,,116.8704167
-450,11,49,49,57,201,-515.6298064,1680.971333,,-450,11,71,144,-513.698451,1798.424917,,117.4535833
-460,11,49,50,57,202,-525.8895116,1687.638,,-460,11,73,144,-522.8651121,1804.508417,,116.8704167
-470,11,50,50,57,203,-535.7325608,1694.304667,,-470,11,72,145,-532.7081179,1811.75825,,117.4535833
-480,11,51,50,57,204,-545.9922661,1700.971333,,-480,11,71,146,-544.6344547,1819.008083,,118.03675
-490,11,48,50,58,204,-555.1610321,1707.400333,,-490,11,73,146,-552.1344514,1825.091583,,117.69125
-500,11,48,51,58,205,-565.8373956,1714.067,,-500,11,72,147,-563.6441215,1832.341417,,118.2744167
-510,11,49,51,58,206,-575.2637918,1720.733667,,-510,11,74,147,-571.9774515,1838.424917,,117.69125
-520,11,50,51,58,207,-585.106841,1727.400333,,-520,11,73,148,-583.0704551,1845.67475,,118.2744167
-530,11,51,51,58,208,-595.3665463,1734.067,,-530,11,75,148,-592.2371183,1851.75825,,117.69125
-540,11,49,50,59,208,-605.3061783,1740.496,,-540,11,74,149,-602.9134552,1859.008083,,118.5120833
-550,11,49,51,59,209,-615.9825418,1747.162667,,-550,11,73,150,-615.673124,1866.257917,,119.09525
-560,11,50,51,59,210,-625.825591,1753.829333,,-560,11,75,150,-623.173122,1872.341417,,118.5120833
-570,11,50,51,61,210,-635.825591,1760.239333,,-570,11,74,151,-635.5161241,1879.59125,,119.3519167
-580,11,52,52,59,212,-645.5630168,1766.088,,-580,11,76,151,-643.8494554,1885.67475,,119.58675
-590,11,50,51,60,212,-655.4401744,1772.517,,-590,11,75,152,-655.7757909,1892.924583,,120.4075833
